Target,Controller,Avg_IAE_q1,Avg_IAE_q2,Avg_ControlEffort,Avg_CompletionTime_Success,NumSuccesses
L1_Up_L2_Align,PID,0.38,0.36,73.72,10.00,30/30
L1_Up_L2_Align,LQR,0.04,0.04,1.44,10.00,30/30
L1_Up_L2_Align,PPO,0.65,0.67,5.03,10.00,30/30
L1_Down_L2_WorldUp,PID,0.70,0.66,160.98,10.00,18/30
L1_Down_L2_WorldUp,LQR,0.03,0.01,0.21,10.00,30/30
L1_Down_L2_WorldUp,PPO,0.60,0.59,4.06,10.00,30/30
L1_3pi4_L2_WorldUp,PID,0.46,0.32,557.05,10.00,20/30
L1_3pi4_L2_WorldUp,LQR,0.03,0.07,490.08,10.00,27/30
L1_3pi4_L2_WorldUp,PPO,2.57,2.09,360.86,10.00,27/30
L1_-3pi4_L2_WorldUp,PID,1.59,1.12,713.27,10.00,28/30
L1_-3pi4_L2_WorldUp,LQR,0.05,0.10,500.68,10.00,30/30
L1_-3pi4_L2_WorldUp,PPO,2.32,1.82,374.02,10.00,26/30
