Wall time,Step,Value
1748387328.8737936,16384,-160.5693359375
1748387355.2251384,32768,-161.0016326904297
1748387381.260975,49152,-159.54342651367188
1748387406.5957992,65536,-160.54678344726562
1748387434.9659069,81920,-163.14537048339844
1748387463.6575325,98304,-162.96371459960938
1748387491.766617,114688,-161.40328979492188
1748387520.638815,131072,-160.51939392089844
1748387548.871068,147456,-163.62667846679688
1748387577.5576553,163840,-159.4428253173828
1748387606.1170912,180224,-171.5553436279297
1748387634.2904468,196608,-189.35305786132812
1748387663.9391024,212992,-188.58827209472656
1748387692.372547,229376,-172.805908203125
1748387720.8052897,245760,-193.59619140625
1748387749.7799556,262144,-186.86094665527344
1748387778.5464454,278528,-186.45506286621094
1748387806.8307517,294912,-167.0371856689453
1748387836.3350556,311296,-176.79696655273438
1748387865.1736164,327680,-179.4185333251953
1748387893.8821287,344064,-181.8888397216797
1748387922.6962144,360448,-184.98167419433594
1748387951.854369,376832,-178.35018920898438
1748387980.863205,393216,-169.53504943847656
1748388011.5304203,409600,-171.89825439453125
1748388041.3632557,425984,-170.48922729492188
1748388072.2225304,442368,-168.04566955566406
1748388102.1517706,458752,-165.5940399169922
1748388132.5679042,475136,-158.04393005371094
1748388163.9741638,491520,-146.5631103515625
1748388194.2812393,507904,-147.89706420898438
1748388223.6511621,524288,-133.51673889160156
1748388253.6297266,540672,-140.66360473632812
1748388284.5065973,557056,-123.14427185058594
1748388314.3497784,573440,-159.80966186523438
1748388343.8603747,589824,-131.4393310546875
1748388373.5534763,606208,-132.13352966308594
1748388403.24288,622592,-133.5181121826172
1748388433.5469294,638976,-130.91732788085938
1748388463.1384473,655360,-139.58676147460938
1748388493.0159225,671744,-128.34307861328125
1748388523.5198405,688128,-129.9950408935547
1748388557.223785,704512,-124.44132995605469
1748388588.4296322,720896,-112.52279663085938
1748388618.8581858,737280,-129.76426696777344
1748388649.628349,753664,-132.7830810546875
1748388680.7095878,770048,-133.2830810546875
1748388711.1134195,786432,-115.23790740966797
1748388741.6664941,802816,-136.3262481689453
1748388772.4809701,819200,-114.8630599975586
1748388802.8776433,835584,-124.39230346679688
1748388833.3506413,851968,-130.7206268310547
1748388864.5220165,868352,-133.6511688232422
1748388894.504396,884736,-119.25897216796875
1748388924.8995492,901120,-109.8252944946289
1748388955.7207067,917504,-105.29621124267578
1748388986.211645,933888,-96.44084930419922
1748389016.8842905,950272,-99.4157485961914
1748389046.3692806,966656,-85.85350799560547
1748389075.9418015,983040,-75.10560607910156
1748389105.2348669,999424,-79.50887298583984
1748389135.436238,1015808,-65.90876007080078
1748389165.724806,1032192,-92.12818908691406
1748389196.0559537,1048576,-100.54327392578125
1748389226.0820465,1064960,-104.84136962890625
1748389256.0731256,1081344,-118.17691802978516
1748389285.2465034,1097728,-111.6420669555664
1748389315.1196444,1114112,-118.54444885253906
1748389344.7265222,1130496,-155.08078002929688
1748389374.1914122,1146880,-121.93993377685547
1748389403.5251725,1163264,-152.1007843017578
1748389433.3188913,1179648,-115.87086486816406
1748389462.6732047,1196032,-140.92071533203125
1748389492.6016154,1212416,-109.11702728271484
1748389523.136786,1228800,-151.49659729003906
1748389553.6533816,1245184,-123.68318939208984
1748389584.430931,1261568,-117.93814086914062
1748389613.8305917,1277952,-121.48601531982422
1748389643.1803176,1294336,-135.76730346679688
1748389673.346279,1310720,-119.34009552001953
1748389703.0700207,1327104,-136.12586975097656
1748389732.1648257,1343488,-165.79891967773438
1748389764.095842,1359872,-163.0595245361328
1748389794.0729399,1376256,-150.30262756347656
1748389822.1621516,1392640,-161.33457946777344
1748389851.9433177,1409024,-170.05886840820312
1748389881.4496942,1425408,-133.13140869140625
1748389910.7777467,1441792,-188.4282684326172
1748389939.6476412,1458176,-159.00140380859375
1748389971.7796197,1474560,-159.57984924316406
1748390001.2558053,1490944,-206.45164489746094
1748390031.6379259,1507328,-162.29208374023438
1748390061.3187048,1523712,-155.72457885742188
1748390090.4611077,1540096,-135.87582397460938
1748390119.2551155,1556480,-139.3270263671875
1748390149.4107013,1572864,-111.6329345703125
1748390178.2808661,1589248,-158.41961669921875
1748390207.366607,1605632,-150.76431274414062
1748390236.6201558,1622016,-148.43040466308594
1748390263.4614892,1638400,-153.3844757080078
1748390287.8940134,1654784,-161.2366943359375
1748390309.4707232,1671168,-147.2166748046875
1748390330.589793,1687552,-133.37701416015625
1748390351.9522793,1703936,-159.3433837890625
1748390373.9805143,1720320,-147.35069274902344
1748390395.235886,1736704,-151.35340881347656
1748390416.7624292,1753088,-135.3144073486328
1748390437.7509098,1769472,-143.71823120117188
1748390459.2373726,1785856,-141.3672637939453
1748390480.9086232,1802240,-110.57620239257812
1748390502.281123,1818624,-129.59507751464844
1748390523.3755813,1835008,-113.00533294677734
1748390544.3633611,1851392,-148.30767822265625
1748390565.4947274,1867776,-137.073486328125
1748390586.510777,1884160,-123.55628204345703
1748390607.4774532,1900544,-114.17061614990234
1748390628.889444,1916928,-108.68790435791016
1748390649.863198,1933312,-120.61563110351562
1748390670.8845904,1949696,-138.00527954101562
1748390691.2815335,1966080,-109.51860809326172
1748390712.040979,1982464,-110.70164489746094
1748390732.4539135,1998848,-131.25881958007812
1748390753.029493,2015232,-122.84977722167969
1748390773.3776684,2031616,-136.6866455078125
1748390793.6325138,2048000,-145.35450744628906
1748390813.9323606,2064384,-128.02322387695312
1748390834.1784759,2080768,-88.08171844482422
1748390854.4306517,2097152,-61.578086853027344
1748390874.9152694,2113536,-83.97785949707031
1748390895.236637,2129920,-102.40547943115234
1748390915.3287315,2146304,-100.70694732666016
1748390938.2189708,2162688,-86.38615417480469
1748390963.0568693,2179072,-63.74053955078125
1748390983.4031541,2195456,-57.14431381225586
1748391005.0295217,2211840,-79.24658966064453
1748391025.8548632,2228224,-79.71648406982422
1748391046.7061608,2244608,-52.606048583984375
1748391066.896117,2260992,-57.44269943237305
1748391087.2113323,2277376,-86.37535858154297
1748391107.4892566,2293760,-105.79069519042969
1748391127.793252,2310144,-67.35742950439453
1748391147.9753609,2326528,-51.164093017578125
1748391168.077503,2342912,-60.375091552734375
